epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.1446,1.14649,2.49916,1.61997,0.26272,0.51203,0.41239,0.20582,1.65806,2.10932,2.39993,0.000471319,0.000471319,0.000471319
2,31.5972,1.22432,2.05483,1.64881,0.23072,0.56948,0.28623,0.1252,1.60425,2.83615,2.56756,0.000938271,0.000938271,0.000938271
3,43.317,1.29123,1.95988,1.70453,0.23039,0.35465,0.23974,0.08742,2.21681,2.70068,3.00738,0.00139579,0.00139579,0.00139579
4,53.953,1.28814,1.83676,1.69588,0.5329,0.50043,0.50878,0.20944,1.80417,2.21053,2.76751,0.00138656,0.00138656,0.00138656
5,64.5809,1.26083,1.75769,1.66907,0.7059,0.60273,0.70066,0.36674,1.34674,1.4971,2.19909,0.00137241,0.00137241,0.00137241
6,75.7675,1.22161,1.67521,1.63071,0.46608,0.72379,0.67431,0.39875,1.47059,1.64681,2.33033,0.00135826,0.00135826,0.00135826
7,86.5021,1.2147,1.59986,1.6248,0.66261,0.55798,0.58516,0.32138,1.52741,1.69791,2.44561,0.00134412,0.00134412,0.00134412
8,97.1834,1.17754,1.54379,1.60588,0.63906,0.55054,0.67181,0.36828,1.50387,1.5182,2.37601,0.00132997,0.00132997,0.00132997
9,107.762,1.14947,1.49675,1.57154,0.87286,0.69352,0.75032,0.405,1.39108,1.31164,2.21173,0.00131582,0.00131582,0.00131582
10,118.551,1.1298,1.45096,1.56035,0.82715,0.60474,0.77583,0.46263,1.3467,1.28134,2.0949,0.00130168,0.00130168,0.00130168
11,129.191,1.09925,1.40024,1.53519,0.65851,0.72187,0.7284,0.4111,1.35398,1.49203,2.14341,0.00128753,0.00128753,0.00128753
12,139.738,1.09867,1.36404,1.53874,0.60245,0.78212,0.76239,0.4606,1.34376,1.25906,2.08875,0.00127338,0.00127338,0.00127338
13,150.292,1.0748,1.34444,1.52357,0.78843,0.59655,0.68741,0.39611,1.50305,1.59832,2.34935,0.00125923,0.00125923,0.00125923
14,160.987,1.09412,1.35186,1.52965,0.70209,0.78986,0.77005,0.49891,1.2264,1.33734,2.04648,0.00124509,0.00124509,0.00124509
15,171.591,1.06805,1.31322,1.51963,0.82148,0.64301,0.73884,0.43699,1.29199,1.34867,2.10102,0.00123094,0.00123094,0.00123094
16,182.41,1.0461,1.28958,1.48833,0.65497,0.69681,0.73647,0.47285,1.16286,1.37918,1.98437,0.00121679,0.00121679,0.00121679
17,193.035,1.03942,1.25014,1.47922,0.75066,0.85439,0.83196,0.5308,1.33043,1.18757,2.12332,0.00120265,0.00120265,0.00120265
18,203.71,1.0217,1.23379,1.47913,0.72007,0.82355,0.87729,0.5557,1.17895,1.01831,1.93327,0.0011885,0.0011885,0.0011885
19,214.365,1.00582,1.22168,1.46644,0.81526,0.65072,0.84224,0.51582,1.33851,1.078,2.17099,0.00117435,0.00117435,0.00117435
20,225.005,1.00152,1.17018,1.44925,0.74771,0.74884,0.82021,0.55513,1.17387,1.24529,1.95021,0.00116021,0.00116021,0.00116021
21,235.556,0.99572,1.16592,1.45478,0.80441,0.69444,0.80707,0.51592,1.18082,1.17948,1.97556,0.00114606,0.00114606,0.00114606
22,246.162,0.98567,1.1714,1.44743,0.81022,0.77745,0.84519,0.57542,1.15638,0.99915,1.86707,0.00113191,0.00113191,0.00113191
23,256.693,0.95673,1.12333,1.42972,0.74788,0.69393,0.7776,0.53228,1.09925,1.27949,1.8768,0.00111776,0.00111776,0.00111776
