epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.3856,1.50843,2.87897,1.27521,0.91576,0.93026,0.95237,0.53099,1.37171,1.07637,1.21075,0.000255736,0.000255736,0.000255736
2,111.646,1.40147,1.6869,1.24602,0.93484,0.95257,0.96273,0.56833,1.33638,0.88889,1.23085,0.000461374,0.000461374,0.000461374
3,145.321,1.38039,1.33137,1.26322,0.92606,0.96384,0.95942,0.56409,1.32248,0.92455,1.24393,0.000616259,0.000616259,0.000616259
4,178.698,1.34339,1.11051,1.2554,0.94596,0.96157,0.96216,0.58921,1.28276,0.82955,1.21104,0.000540607,0.000540607,0.000540607
5,212.723,1.3104,0.9691,1.2387,0.94476,0.96529,0.96695,0.59715,1.28023,0.7905,1.21283,0.000464476,0.000464476,0.000464476
6,248.127,1.29109,0.87906,1.22488,0.92955,0.9605,0.95851,0.6011,1.26555,0.76477,1.23014,0.000388345,0.000388345,0.000388345
7,283.077,1.26176,0.82014,1.2174,0.95064,0.97823,0.97051,0.58486,1.29809,0.78794,1.20871,0.000312214,0.000312214,0.000312214
8,317.058,1.23921,0.77638,1.18451,0.93736,0.96426,0.96163,0.6114,1.23962,0.7222,1.20176,0.000236083,0.000236083,0.000236083
9,350.522,1.20734,0.73945,1.18124,0.93955,0.97261,0.96833,0.61754,1.26774,0.68381,1.2122,0.000159952,0.000159952,0.000159952
10,384.14,1.1793,0.70442,1.16904,0.94584,0.97079,0.97293,0.61637,1.27113,0.68786,1.20666,8.3821e-05,8.3821e-05,8.3821e-05
