epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.1114,1.51236,3.04898,1.27122,0.6166,0.92188,0.64855,0.3754,1.2358,11.7851,1.1555,0.00332815,0.00332815,0.00332815
2,157.133,1.43659,1.99901,1.24726,0.62148,0.92206,0.65559,0.38149,1.25159,7.48007,1.16849,0.00662851,0.00662851,0.00662851
3,233.175,1.45472,1.7078,1.309,0.61088,0.85332,0.63893,0.35423,1.33979,8.59281,1.28735,0.00989587,0.00989587,0.00989587
4,323.126,1.45998,1.50698,1.34235,0.60361,0.83238,0.61163,0.3508,1.29858,9.10013,1.28332,0.0098515,0.0098515,0.0098515
5,400.928,1.43407,1.37855,1.3538,0.61215,0.92769,0.6497,0.3785,1.22784,10.4852,1.27011,0.009802,0.009802,0.009802
6,481.297,1.41247,1.29217,1.3665,0.62332,0.9612,0.66132,0.40054,1.22764,8.7248,1.25587,0.0097525,0.0097525,0.0097525
7,557.627,1.39331,1.24902,1.34952,0.63259,0.94611,0.65583,0.39654,1.21615,10.2427,1.25788,0.009703,0.009703,0.009703
8,641.017,1.37592,1.22672,1.3376,0.62859,0.9508,0.65915,0.39139,1.23354,9.70219,1.24547,0.0096535,0.0096535,0.0096535
9,717.378,1.36584,1.19681,1.33877,0.62261,0.9567,0.65705,0.40317,1.1792,10.3583,1.24251,0.009604,0.009604,0.009604
10,792.257,1.35009,1.1649,1.32877,0.62991,0.96256,0.66016,0.40512,1.20347,9.38847,1.24442,0.0095545,0.0095545,0.0095545
11,869.257,1.34903,1.15343,1.32997,0.62889,0.97453,0.66426,0.41601,1.1822,9.71006,1.23655,0.009505,0.009505,0.009505
12,943.721,1.33697,1.13133,1.32379,0.62316,0.952,0.65082,0.39507,1.20797,10.5021,1.26899,0.0094555,0.0094555,0.0094555
13,1018.83,1.32919,1.11804,1.31616,0.62381,0.97008,0.65877,0.41838,1.19621,9.81294,1.23319,0.009406,0.009406,0.009406
14,1093.49,1.32702,1.09941,1.32694,0.62526,0.96131,0.65548,0.40361,1.20009,10.2908,1.26985,0.0093565,0.0093565,0.0093565
15,1167.05,1.32024,1.09818,1.31623,0.6291,0.96999,0.66254,0.41992,1.17295,10.4908,1.23177,0.009307,0.009307,0.009307
16,1241.89,1.30405,1.07469,1.30915,0.63565,0.96963,0.66266,0.41872,1.1908,9.65879,1.25043,0.0092575,0.0092575,0.0092575
17,1317.94,1.30729,1.06437,1.31067,0.63069,0.95877,0.65974,0.41049,1.2056,10.5106,1.24535,0.009208,0.009208,0.009208
18,1394.22,1.30788,1.06489,1.31965,0.61684,0.95994,0.6561,0.41643,1.17864,10.177,1.25393,0.0091585,0.0091585,0.0091585
19,1470.96,1.28715,1.05008,1.29296,0.62365,0.95907,0.65321,0.40923,1.20354,10.7335,1.2505,0.009109,0.009109,0.009109
20,1547.38,1.28466,1.05228,1.29338,0.62544,0.95482,0.65924,0.41375,1.17382,11.3651,1.23235,0.0090595,0.0090595,0.0090595
21,1624.14,1.28056,1.04071,1.29921,0.63341,0.97211,0.65927,0.41681,1.19376,10.7593,1.25264,0.00901,0.00901,0.00901
22,1700.67,1.27357,1.02297,1.30006,0.62928,0.96645,0.66186,0.41919,1.2159,11.0302,1.28495,0.0089605,0.0089605,0.0089605
23,1776.98,1.26952,1.01978,1.2935,0.62188,0.96271,0.65969,0.41538,1.21145,10.6671,1.29467,0.008911,0.008911,0.008911
24,1853.57,1.26003,1.01547,1.29332,0.62973,0.96229,0.66402,0.42058,1.19122,10.0436,1.25923,0.0088615,0.0088615,0.0088615
25,1930.82,1.26524,0.99663,1.29055,0.62653,0.96648,0.66331,0.41507,1.2203,10.5958,1.27788,0.008812,0.008812,0.008812
26,2007.61,1.2582,0.9959,1.29072,0.62937,0.95736,0.65886,0.41629,1.19953,11.1099,1.27442,0.0087625,0.0087625,0.0087625
27,2084.52,1.24753,0.99377,1.27716,0.62738,0.96132,0.66036,0.41193,1.19006,10.6615,1.2617,0.008713,0.008713,0.008713
28,2161.66,1.24829,0.9816,1.27634,0.6251,0.95561,0.65402,0.40261,1.22294,11.3911,1.26185,0.0086635,0.0086635,0.0086635
29,2238.52,1.25028,0.99248,1.27886,0.62591,0.955,0.66361,0.41577,1.19091,10.8368,1.25867,0.008614,0.008614,0.008614
30,2315.35,1.23901,0.97752,1.28386,0.62145,0.94141,0.66172,0.41326,1.19452,11.9198,1.28574,0.0085645,0.0085645,0.0085645
31,2403.67,1.22736,0.96619,1.26421,0.62355,0.94569,0.65648,0.4103,1.22737,11.0199,1.29186,0.008515,0.008515,0.008515
32,2490.82,1.23843,0.961,1.27398,0.62229,0.95294,0.65243,0.40462,1.22822,11.2054,1.27873,0.0084655,0.0084655,0.0084655
33,2572.79,1.22934,0.96259,1.26657,0.62152,0.9482,0.65498,0.40859,1.21329,12.4512,1.29591,0.008416,0.008416,0.008416
34,2652.26,1.21807,0.94512,1.25339,0.6224,0.95781,0.65729,0.40879,1.21338,12.3034,1.27184,0.0083665,0.0083665,0.0083665
35,2731.99,1.2163,0.93842,1.26003,0.62253,0.95667,0.6616,0.41354,1.21835,12.4897,1.28887,0.008317,0.008317,0.008317
36,2816.08,1.2118,0.94424,1.25596,0.62159,0.95506,0.65936,0.41309,1.19183,11.7148,1.26065,0.0082675,0.0082675,0.0082675
37,2903.04,1.20825,0.9378,1.24935,0.62437,0.95865,0.66056,0.41157,1.20628,11.6341,1.26665,0.008218,0.008218,0.008218
38,2999.09,1.20061,0.92587,1.24821,0.6245,0.96011,0.66255,0.40831,1.21642,12.7565,1.28509,0.0081685,0.0081685,0.0081685
39,3084.07,1.18988,0.90988,1.23918,0.62814,0.95853,0.65947,0.40254,1.22866,12.5832,1.2808,0.008119,0.008119,0.008119
40,3165.07,1.19263,0.91638,1.24666,0.62518,0.95912,0.66039,0.40752,1.22593,12.9202,1.27936,0.0080695,0.0080695,0.0080695
41,3250.7,1.18623,0.91802,1.2345,0.62802,0.96564,0.66333,0.40201,1.23177,12.3839,1.27337,0.00802,0.00802,0.00802
42,3334.68,1.18511,0.90726,1.23915,0.62862,0.96096,0.65987,0.39944,1.2273,12.7374,1.30781,0.0079705,0.0079705,0.0079705
43,3420.13,1.17782,0.90064,1.2322,0.62669,0.96561,0.65927,0.40387,1.2334,13.0883,1.28871,0.007921,0.007921,0.007921
44,3507.82,1.17222,0.90684,1.23227,0.61875,0.95674,0.65716,0.40249,1.22442,12.8063,1.28467,0.0078715,0.0078715,0.0078715
45,3593.7,1.16732,0.89213,1.21617,0.62673,0.95109,0.65464,0.40586,1.24601,13.2207,1.28981,0.007822,0.007822,0.007822
46,3680.72,1.1596,0.89491,1.21592,0.62755,0.96146,0.64914,0.39635,1.25688,13.0295,1.30819,0.0077725,0.0077725,0.0077725
47,3759.95,1.1512,0.88407,1.21298,0.62797,0.96132,0.65645,0.40241,1.22332,13.124,1.28032,0.007723,0.007723,0.007723
48,3836.55,1.15368,0.8898,1.21346,0.61908,0.96015,0.66038,0.40321,1.22369,13.7366,1.29646,0.0076735,0.0076735,0.0076735
49,3913.37,1.13896,0.87902,1.19996,0.62067,0.95675,0.65431,0.40205,1.24867,13.1865,1.30914,0.007624,0.007624,0.007624
50,3989.97,1.14577,0.88065,1.20354,0.62578,0.95767,0.65936,0.39823,1.23234,12.8499,1.28249,0.0075745,0.0075745,0.0075745
51,4072.52,1.12583,0.86494,1.1984,0.62449,0.94483,0.66159,0.40175,1.25019,13.5829,1.30852,0.007525,0.007525,0.007525
52,4149.36,1.12984,0.86554,1.19794,0.6249,0.96656,0.66023,0.39893,1.24892,13.0308,1.31992,0.0074755,0.0074755,0.0074755
